id,first_ts,last_ts,available_duration,plug_name,appliance_category,comment,files_names,power_max
343,2021-04-04 21:46:29+00:00,2021-05-03 23:59:59+00:00,29.09,washing_machine,washing,,washing_machine_343.csv,2663.0
295,2021-01-16 07:39:05+00:00,2021-02-15 07:39:05+00:00,30.0,internet_router,multimedia,Freebox delta,internet_router_295.csv,38.0
254,2021-01-17 06:20:03+00:00,2021-02-16 06:20:03+00:00,30.0,vacuum,other,aspirateur robot Xiaomi 17061 Vacuum Cleaner (V1),vacuum_254.csv,44.0
32,2021-01-18 11:13:03+00:00,2021-02-17 11:13:02+00:00,30.0,washing_machine,washing,"lave-linge whirlpool TDLR70230, lave-linge whirlpool TDLR70230",washing_machine_32.csv,2688.0
53,2021-01-18 00:51:25+00:00,2021-02-17 00:51:25+00:00,30.0,dishwasher,washing,,dishwasher_53.csv,1806.0
226,2021-02-18 05:28:53+00:00,2021-03-20 05:28:52+00:00,30.0,boiler,kitchen,,boiler_226.csv,2664.0
293,2021-01-14 01:44:52+00:00,2021-02-13 01:44:52+00:00,30.0,air_purifier,other,Mi Air Purificateur 3H,air_purifier_293.csv,22.0
252,2020-10-24 09:39:43+00:00,2020-11-23 09:39:42+00:00,30.0,sound_system,multimedia,delta devialet,sound_system_252.csv,17.0
29,2020-09-25 00:00:00+00:00,2020-10-24 23:59:58+00:00,30.0,3D_printer,multimedia,imprimante 3D micro delta rework,3D_printer_29.csv,154.0
54,2020-12-13 12:51:57+00:00,2021-01-12 12:51:57+00:00,30.0,coffee,kitchen,Nespresso,coffee_54.csv,1481.0
282,2021-04-03 21:05:08+00:00,2021-05-03 21:05:07+00:00,30.0,phone_charger,multimedia,,phone_charger_282.csv,86.0
207,2020-12-23 16:42:05+00:00,2021-01-22 16:42:05+00:00,30.0,fridge,kitchen,frigo,fridge_207.csv,1436.0
309,2020-12-23 16:42:05+00:00,2021-01-22 16:42:05+00:00,30.0,radiator,other,radiateur,radiator_309.csv,1348.0
310,2020-12-13 12:51:58+00:00,2021-01-12 12:51:57+00:00,30.0,dehumidifier,other,,dehumidifier_310.csv,1989.0
317,2021-01-20 00:00:00+00:00,2021-02-18 23:59:59+00:00,30.0,fridge,kitchen,,fridge_317.csv,1001.0
314,2021-02-03 15:19:26+00:00,2021-03-05 15:19:26+00:00,30.0,micro_wave_oven,kitchen,,micro_wave_oven_314.csv,1712.0
289,2021-01-30 06:02:24+00:00,2021-03-01 06:02:24+00:00,30.0,laptop,multimedia,,laptop_289.csv,61.0
290,2021-02-11 18:38:39+00:00,2021-03-13 18:38:38+00:00,30.0,tv,multimedia,,tv_290.csv,54.0
236,2020-12-11 10:11:44+00:00,2021-01-04 17:31:43+00:00,24.31,vacuum,other,,vacuum_236.csv,1099.0
302,2021-01-11 17:00:26+00:00,2021-01-24 10:33:45+00:00,12.73,screen,multimedia,,screen_302.csv,33.0
322,2021-03-10 01:37:21+00:00,2021-04-09 01:37:21+00:00,30.0,dehumidifier,other,Klimatronic 240 (max 360W),dehumidifier_322.csv,55.0
325,2021-04-20 10:08:23+00:00,2021-05-20 10:08:23+00:00,30.0,solar_panel,other,,solar_panel_325.csv,417.0
146,2020-07-17 02:14:56+00:00,2020-08-16 02:14:56+00:00,30.0,screen,multimedia,Deuxième écran de bureau,screen_146.csv,30.0
157,2021-03-10 02:30:34+00:00,2021-04-09 02:30:34+00:00,30.0,washing_machine,washing,,washing_machine_157.csv,2584.0
215,2020-07-16 18:53:28+00:00,2020-08-15 18:53:28+00:00,30.0,fan,cooling,ventilateur sur colonne,fan_215.csv,83.0
222,2020-10-21 12:57:47+00:00,2020-11-20 12:57:47+00:00,30.0,air_conditioner,cooling,climatiseur mobile,air_conditioner_222.csv,45.0
64,2020-06-16 13:20:08+00:00,2020-07-15 23:59:59+00:00,29.44,laptop,multimedia,laptop pro sur son chargeur,laptop_64.csv,55.0
37,2020-12-01 18:10:11+00:00,2020-12-31 18:10:11+00:00,30.0,coffee,kitchen,machine espresso 70s,coffee_37.csv,1373.0
